beta.(Intercept),beta.veg1,alpha.(Intercept),alpha.sal,alpha.twg,delta.(Intercept),delta.sal,delta.fish,delta.turb
-1.114056,1.858367,1.281276,-0.0382147,0.005152931,0.9283383,-0.0445521,-0.001113081,0.00249085
-1.442968,2.347424,0.8927416,-0.02456304,0.004719297,0.9801786,-0.04457299,-0.001610395,0.002697641
-0.5954654,1.187879,1.42976,-0.03383999,0.005600978,0.9996298,-0.03404751,-0.00105817,0.001529084
-0.5954654,1.187879,1.045979,-0.02815324,0.002108131,1.168056,-0.04220302,-0.001746491,0.002059235
-0.5954654,1.187879,1.061397,-0.02053291,-0.0002291113,0.9244704,-0.0439375,-0.001285871,0.002474815
-0.5954654,1.187879,1.31273,-0.03112397,0.0003963565,0.9244704,-0.0439375,-0.001285871,0.002474815
-0.8061903,1.777212,1.31273,-0.03112397,0.0003963565,1.036359,-0.04585539,-0.001394448,0.002266026
-0.8940639,2.216211,1.42009,-0.04288185,-0.004233451,1.096801,-0.04470027,-0.0008667586,0.001745991
-0.3162275,1.335776,1.105588,-0.02608326,0.003230331,0.9656467,-0.03625001,-0.001668521,0.002071557
-0.3162275,1.335776,1.015531,-0.0192512,0.008905418,1.147291,-0.0346622,-0.001380779,0.001282725
-0.6061986,1.297846,1.010676,-0.01964741,0.005425437,1.137593,-0.04060996,-0.001590018,0.001623535
-0.4164433,1.002048,0.8846293,-0.01622721,0.009459945,1.168064,-0.05402938,-0.001613235,0.002289103
-1.178994,1.988406,1.160936,-0.03526036,0.002222617,0.9256632,-0.03777888,-0.001232339,0.002100054
-1.042365,1.524525,0.9056763,-0.01826571,0.003835618,0.9256632,-0.03777888,-0.001232339,0.002100054
-0.5723901,0.6120078,1.323573,-0.03052806,0.002356649,0.8771496,-0.04707593,-0.001424689,0.002959736
-0.4806994,1.041118,1.131431,-0.03280926,0.002269755,1.124535,-0.04731309,-0.00187664,0.002313796
-0.4806994,1.041118,1.521444,-0.04268627,-0.002441786,1.01081,-0.04489007,-0.001411744,0.002392711
-0.4806994,1.041118,1.692963,-0.03778217,-0.00491256,1.01081,-0.04489007,-0.001411744,0.002392711
-0.4806994,1.041118,1.322167,-0.04099181,0.006932532,1.047132,-0.04882342,-0.001946137,0.002773289
-0.4806994,1.041118,1.421231,-0.03607904,-0.001717977,1.352912,-0.04588376,-0.001668958,0.001599081
-0.3045779,1.029704,1.195378,-0.03280094,0.001249728,1.09773,-0.03637783,-0.00138202,0.00142824
-0.134037,1.11314,1.419337,-0.0327481,0.002034723,1.024982,-0.04262187,-0.001134295,0.001898637
-0.6942005,1.372261,0.902679,-0.01487249,0.004365506,1.157145,-0.04059334,-0.001021483,0.001755578
-0.6288637,1.467725,1.249514,-0.03280224,0.001407474,1.005211,-0.03593744,-0.001198165,0.00182043
-0.6288637,1.467725,0.9938865,-0.02994476,-0.0001556773,1.013154,-0.04404922,-0.001807777,0.002334526
-0.6288637,1.467725,0.9938865,-0.02994476,-0.0001556773,1.265733,-0.04391812,-0.001694969,0.001714604
-0.6288637,1.467725,1.170402,-0.03046627,-0.00084587,1.162841,-0.03768547,-0.001563876,0.001610707
-0.6288637,1.467725,0.9504128,-0.01977045,0.0005330383,1.210582,-0.03950272,-0.001486024,0.00123768
-0.6288637,1.467725,0.9413992,-0.02284635,0.004445018,1.104537,-0.03406937,-0.00124406,0.001146727
-0.9466658,1.497013,1.56496,-0.04291722,-0.0003363231,1.158653,-0.04386074,-0.001670686,0.001995768
-0.8300602,1.881728,1.475102,-0.04036991,-0.003385077,0.9287474,-0.04961396,-0.001818768,0.003078695
-0.6683684,1.446973,1.470813,-0.04282811,0.006225182,1.000853,-0.03356303,-0.001733056,0.001832719
-0.8813299,1.005884,1.286059,-0.03103719,-0.001327769,1.259942,-0.04873386,-0.001922256,0.002588244
-0.2256766,1.490548,1.80854,-0.04795627,-0.004052275,1.043113,-0.03900235,-0.001927939,0.002184547
-0.4955215,1.527012,1.54981,-0.03687525,-0.002501925,1.226242,-0.05107882,-0.001895686,0.002323273
-0.6120864,1.078125,1.266482,-0.03048138,0.002439315,1.130376,-0.02981377,-0.001591719,0.001307744
-0.6120864,1.078125,1.221631,-0.03593814,-0.001545391,1.118624,-0.04585381,-0.001523643,0.002283476
-0.6120864,1.078125,1.243128,-0.02837099,0.004794507,1.069321,-0.04660709,-0.00113649,0.00194361
-0.6120864,1.078125,1.468108,-0.04885688,0.001969988,1.110884,-0.04010832,-0.001873813,0.002035401
-0.6120864,1.078125,1.549315,-0.0379553,-0.006269719,1.026473,-0.05120777,-0.002096768,0.003075912
-0.6120864,1.078125,1.429049,-0.03480396,0.003473832,1.053664,-0.03723308,-0.002080411,0.002132651
-0.6696874,0.9512426,1.215736,-0.02988293,0.001052876,1.130269,-0.03760636,-0.002248584,0.00186346
-0.1488855,1.34209,1.512074,-0.03412359,-0.004248423,1.102684,-0.04756305,-0.001685726,0.002673763
-0.1488855,1.34209,0.9239089,-0.0171106,0.0005443777,1.098606,-0.05015754,-0.001521898,0.002143301
-0.1488855,1.34209,1.230804,-0.03273888,0.004465685,1.114952,-0.03595663,-0.001136116,0.001196681
-0.1488855,1.34209,1.317662,-0.04058698,0.002426513,1.090391,-0.04420082,-0.001534852,0.00216156
-0.9690777,2.08238,1.205427,-0.02926613,0.003075599,0.8527393,-0.03720099,-0.001769229,0.002500682
